Time,Type,ID,x,y,Target/finish
16,robot,3,90.5,33.5,1
16,task,0,0.652784802685132,0.29830276735556926,False
16,task,1,0.9669622001623905,0.9198501605372782,False
16,task,2,0.6358708041446514,0.7527320970790866,False
16,task,3,0.5151536963223518,0.82589525837557,False
17,robot,0,34.5,63.5,2
17,robot,1,63.5,30.5,0
17,robot,2,51.5,82.5,-1
17,robot,3,90.5,34.5,1
17,task,0,0.652784802685132,0.29830276735556926,False
17,task,1,0.9669622001623905,0.9198501605372782,False
17,task,2,0.6358708041446514,0.7527320970790866,False
17,task,3,0.5151536963223518,0.82589525837557,True
18,robot,0,35.5,63.5,2
18,robot,1,64.5,29.5,0
18,robot,2,51.5,82.5,-1
18,robot,3,90.5,35.5,1
18,task,0,0.652784802685132,0.29830276735556926,False
18,task,1,0.9669622001623905,0.9198501605372782,False
18,task,2,0.6358708041446514,0.7527320970790866,False
18,task,3,0.5151536963223518,0.82589525837557,True
19,robot,0,36.5,63.5,2
19,robot,1,65.5,29.5,0
19,robot,2,51.5,82.5,-1
19,robot,3,90.5,36.5,1
19,task,0,0.652784802685132,0.29830276735556926,False
19,task,1,0.9669622001623905,0.9198501605372782,False
19,task,2,0.6358708041446514,0.7527320970790866,False
19,task,3,0.5151536963223518,0.82589525837557,True
20,robot,0,37.5,63.5,2
20,robot,1,65.5,29.5,-1
20,robot,2,51.5,82.5,-1
20,robot,3,90.5,37.5,1
20,task,0,0.652784802685132,0.29830276735556926,True
20,task,1,0.9669622001623905,0.9198501605372782,False
20,task,2,0.6358708041446514,0.7527320970790866,False
20,task,3,0.5151536963223518,0.82589525837557,True
21,robot,0,38.5,64.5,2
21,robot,1,65.5,29.5,-1
21,robot,2,51.5,82.5,-1
21,robot,3,90.5,38.5,1
21,task,0,0.652784802685132,0.29830276735556926,True
21,task,1,0.9669622001623905,0.9198501605372782,False
21,task,2,0.6358708041446514,0.7527320970790866,False
21,task,3,0.5151536963223518,0.82589525837557,True
22,robot,0,39.5,64.5,2
22,robot,1,65.5,29.5,-1
22,robot,2,51.5,82.5,-1
22,robot,3,90.5,39.5,1
22,task,0,0.652784802685132,0.29830276735556926,True
22,task,1,0.9669622001623905,0.9198501605372782,False
22,task,2,0.6358708041446514,0.7527320970790866,False
22,task,3,0.5151536963223518,0.82589525837557,True
23,robot,0,40.5,64.5,2
23,robot,1,65.5,29.5,-1
23,robot,2,51.5,82.5,-1
23,robot,3,90.5,40.5,1
23,task,0,0.652784802685132,0.29830276735556926,True
23,task,1,0.9669622001623905,0.9198501605372782,False
23,task,2,0.6358708041446514,0.7527320970790866,False
23,task,3,0.5151536963223518,0.82589525837557,True
24,robot,0,41.5,64.5,2
24,robot,1,65.5,29.5,-1
24,robot,2,51.5,82.5,-1
24,robot,3,90.5,41.5,1
24,task,0,0.652784802685132,0.29830276735556926,True
24,task,1,0.9669622001623905,0.9198501605372782,False
24,task,2,0.6358708041446514,0.7527320970790866,False
24,task,3,0.5151536963223518,0.82589525837557,True
25,robot,0,42.5,64.5,2
25,robot,1,65.5,29.5,-1
25,robot,2,51.5,82.5,-1
25,robot,3,90.5,42.5,1
25,task,0,0.652784802685132,0.29830276735556926,True
25,task,1,0.9669622001623905,0.9198501605372782,False
25,task,2,0.6358708041446514,0.7527320970790866,False
25,task,3,0.5151536963223518,0.82589525837557,True
26,robot,0,43.5,64.5,2
26,robot,1,65.5,29.5,-1
26,robot,2,51.5,82.5,-1
26,robot,3,90.5,43.5,1
26,task,0,0.652784802685132,0.29830276735556926,True
26,task,1,0.9669622001623905,0.9198501605372782,False
26,task,2,0.6358708041446514,0.7527320970790866,False
26,task,3,0.5151536963223518,0.82589525837557,True
27,robot,0,44.5,64.5,2
27,robot,1,65.5,29.5,-1
27,robot,2,51.5,82.5,-1
27,robot,3,90.5,44.5,1
27,task,0,0.652784802685132,0.29830276735556926,True
27,task,1,0.9669622001623905,0.9198501605372782,False
27,task,2,0.6358708041446514,0.7527320970790866,False
27,task,3,0.5151536963223518,0.82589525837557,True
28,robot,0,45.5,64.5,2
28,robot,1,65.5,29.5,-1
28,robot,2,51.5,82.5,-1
28,robot,3,90.5,45.5,1
28,task,0,0.652784802685132,0.29830276735556926,True
28,task,1,0.9669622001623905,0.9198501605372782,False
28,task,2,0.6358708041446514,0.7527320970790866,False
28,task,3,0.5151536963223518,0.82589525837557,True
29,robot,0,46.5,64.5,2
29,robot,1,65.5,29.5,-1
29,robot,2,51.5,82.5,-1
29,robot,3,90.5,46.5,1
29,task,0,0.652784802685132,0.29830276735556926,True
29,task,1,0.9669622001623905,0.9198501605372782,False
29,task,2,0.6358708041446514,0.7527320970790866,False
29,task,3,0.5151536963223518,0.82589525837557,True
30,robot,0,47.5,64.5,2
30,robot,1,65.5,29.5,-1
30,robot,2,51.5,82.5,-1
30,robot,3,90.5,47.5,1
30,task,0,0.652784802685132,0.29830276735556926,True
30,task,1,0.9669622001623905,0.9198501605372782,False
30,task,2,0.6358708041446514,0.7527320970790866,False
30,task,3,0.5151536963223518,0.82589525837557,True
31,robot,0,48.5,64.5,2
31,robot,1,65.5,29.5,-1
31,robot,2,51.5,82.5,-1
31,robot,3,90.5,48.5,1
31,task,0,0.652784802685132,0.29830276735556926,True
31,task,1,0.9669622001623905,0.9198501605372782,False
31,task,2,0.6358708041446514,0.7527320970790866,False
31,task,3,0.5151536963223518,0.82589525837557,True
32,robot,0,49.5,64.5,2
32,robot,1,65.5,29.5,-1
32,robot,2,51.5,82.5,-1
32,robot,3,90.5,49.5,1
32,task,0,0.652784802685132,0.29830276735556926,True
32,task,1,0.9669622001623905,0.9198501605372782,False
32,task,2,0.6358708041446514,0.7527320970790866,False
32,task,3,0.5151536963223518,0.82589525837557,True
33,robot,0,50.5,65.5,2
33,robot,1,65.5,29.5,-1
33,robot,2,51.5,82.5,-1
33,robot,3,90.5,50.5,1
33,task,0,0.652784802685132,0.29830276735556926,True
33,task,1,0.9669622001623905,0.9198501605372782,False
33,task,2,0.6358708041446514,0.7527320970790866,False
33,task,3,0.5151536963223518,0.82589525837557,True
34,robot,0,51.5,66.5,2
34,robot,1,65.5,29.5,-1
34,robot,2,51.5,82.5,-1
34,robot,3,90.5,51.5,1
34,task,0,0.652784802685132,0.29830276735556926,True
34,task,1,0.9669622001623905,0.9198501605372782,False
34,task,2,0.6358708041446514,0.7527320970790866,False
34,task,3,0.5151536963223518,0.82589525837557,True
35,robot,0,52.5,67.5,2
35,robot,1,65.5,29.5,-1
35,robot,2,51.5,82.5,-1
35,robot,3,90.5,52.5,1
35,task,0,0.652784802685132,0.29830276735556926,True
35,task,1,0.9669622001623905,0.9198501605372782,False
35,task,2,0.6358708041446514,0.7527320970790866,False
35,task,3,0.5151536963223518,0.82589525837557,True
36,robot,0,53.5,68.5,2
36,robot,1,65.5,29.5,-1
36,robot,2,51.5,82.5,-1
36,robot,3,90.5,53.5,1
36,task,0,0.652784802685132,0.29830276735556926,True
36,task,1,0.9669622001623905,0.9198501605372782,False
36,task,2,0.6358708041446514,0.7527320970790866,False
36,task,3,0.5151536963223518,0.82589525837557,True
37,robot,0,54.5,69.5,2
37,robot,1,65.5,29.5,-1
37,robot,2,51.5,82.5,-1
37,robot,3,90.5,54.5,1
37,task,0,0.652784802685132,0.29830276735556926,True
37,task,1,0.9669622001623905,0.9198501605372782,False
37,task,2,0.6358708041446514,0.7527320970790866,False
37,task,3,0.5151536963223518,0.82589525837557,True
38,robot,0,55.5,70.5,2
38,robot,1,65.5,29.5,-1
38,robot,2,51.5,82.5,-1
38,robot,3,90.5,55.5,1
38,task,0,0.652784802685132,0.29830276735556926,True
38,task,1,0.9669622001623905,0.9198501605372782,False
38,task,2,0.6358708041446514,0.7527320970790866,False
38,task,3,0.5151536963223518,0.82589525837557,True
39,robot,0,56.5,71.5,2
39,robot,1,65.5,29.5,-1
39,robot,2,51.5,82.5,-1
39,robot,3,90.5,56.5,1
39,task,0,0.652784802685132,0.29830276735556926,True
39,task,1,0.9669622001623905,0.9198501605372782,False
39,task,2,0.6358708041446514,0.7527320970790866,False
39,task,3,0.5151536963223518,0.82589525837557,True
40,robot,0,57.5,72.5,2
40,robot,1,65.5,29.5,-1
40,robot,2,51.5,82.5,-1
